,betweenness,closeness centrality,clustering coefficient,degree centrality,eigenvector centrality,label,n_bills,party,photo,url,modularity_class
98,0,0.19555834,0.410714286,0.074074074,4.13E-17,Yitzhak Vaknin,62,Shas,photos/vaknin_yizhak.jpg,https://oknesset.org/member/50,1
99,0.001137319,0.078904992,0.245454545,0.101851852,1.19E-33,Yoav Ben-Tzur,76,Shas,photos/Yoav_Ben_Tzur.jpg,https://oknesset.org/member/906,0
100,0.002148956,0.487562189,0.13989899,0.416666667,3.95E-06,Yoav Kisch,56,Likud,photos/Kish_Yoav.jpg,https://oknesset.org/member/945,0
101,0.00518809,0.114909782,0.241830065,0.166666667,2.71E-29,Yoel Hasson,112,Zionist Union,photos/hasson_yoel.jpg,https://oknesset.org/member/772,2
102,0,0,0.272727273,0.101851852,1.63E-41,Yoel Razvozov,73,Yesh Atid,photos/Rozbozov_Yoel.jpg,https://oknesset.org/member/897,0
103,0,0,0.291666667,0.083333333,1.63E-41,Yoseph Yonah,79,Zionist Union,photos/Yona_Yossi.jpg,https://oknesset.org/member/926,0
104,0,0,0.388888889,0.092592593,1.63E-41,Yousef Jabareen,119,Joint List,photos/Jabareen_Yousef.jpg,https://oknesset.org/member/919,2
105,0,0,0,0,1.63E-41,Yuli-Yoel Edelstein,2,Likud,photos/edelstein_yoel.jpg,https://oknesset.org/member/1,2
106,0,0,0,0,1.63E-41,Zeev Binyamin Begin,3,Likud,photos/begin_beni.jpg,https://oknesset.org/member/14,2
107,0,0,0,0.009259259,1.63E-41,Zeev Elkin,9,Likud,photos/elkin_zeev.jpg,https://oknesset.org/member/768,2
108,0.000271659,0.037037037,0.35,0.231481481,3.12E-38,Zehava Galon,254,Meretz,photos/galon_zahava.jpg,https://oknesset.org/member/201,1
109,0,0,0.261904762,0.064814815,1.63E-41,Zouheir Bahloul,54,Zionist Union,photos/Bahloul_Zuhair.jpg,https://oknesset.org/member/913,0
